Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man Utd,38,28,5,5,83:27,56,89,1,Manchester United,38,25,8,5,2.18,72:34,51.301,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Chelsea,38,24,11,3,64:24,40,83,2,Chelsea FC,38,29,4,5,2.39,72:22,38.110,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Liverpool,38,20,8,10,57:27,30,68,3,Liverpool FC,38,25,7,6,2.16,57:25,39.830,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Arsenal,38,19,11,8,63:35,28,68,4,Arsenal FC,38,20,7,11,1.76,68:31,36.619,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Tottenham,38,17,9,12,57:54,3,60,5,Tottenham Hotspur,38,18,11,9,1.71,53:38,35.176,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Everton,38,15,13,10,52:36,16,58,6,Everton FC,38,14,8,16,1.32,34:49,35.155,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Bolton,38,16,8,14,47:52,-5,56,7,Bolton Wanderers,38,15,11,12,1.47,49:41,29.328,24.50,25.43,29.25,€200k,€2.88m,€2.93m,€100k,€411k,€366k,27.09,€8.30m,€361k,€600k,€570k,+€30k,€570k,22.6,€11.48m,€600k,23.3,€14.65m,Ian Evatt,41,1.69 Years,59,31,13,15,106,1.80,3,1.43,251,€225k
Reading,38,16,7,15,52:47,5,55,8,Reading FC,46,31,13,2,2.30,99:32,19.004,28.50,26.22,28.88,€750k,€11.00m,€5.70m,€375k,€1.22m,€713k,26.96,€22.65m,€944k,0,0,+-0,0,25.5,€23.50m,0,25.7,€31.20m,Noel Hunt,40,0.45 Years,5,0,3,2,3,0.60,7,0.5,12,€1.13m
Portsmouth,38,14,12,12,45:42,3,54,9,Portsmouth FC,38,10,8,20,1.00,37:62,27.018,22.00,25.89,25.83,€450k,€3.10m,€2.05m,€450k,€344k,€342k,25.36,€8.25m,€330k,€700k,0,+€700k,0,22.7,€10.25m,€700k,24.1,€10.53m,John Mousinho,37,0.42 Years,23,10,9,4,39,1.70,1,1.7,23,0
Blackburn,38,15,7,16,52:54,-2,52,10,Blackburn Rovers,38,19,6,13,1.66,51:42,27.450,26.00,24.36,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.15,€69.65m,€2.58m,0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Jon Dahl Tomasson,46,0.96 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m
