name,matches,wins,draws,losses,pts,goals,spectators,Name
Arsenal FC,38,26,9,3,2.29,79:36,36.744,Arsenal
Liverpool FC,38,24,8,6,2.11,67:30,39.707,Liverpool
Manchester United,38,24,5,9,2.03,87:45,51.477,Man Utd
Newcastle United,38,21,8,9,1.87,74:52,42.793,Newcastle
Leeds United,38,18,12,8,1.74,53:37,37.102,Leeds
Chelsea FC,38,17,13,8,1.68,66:38,36.804,Chelsea
West Ham United,38,15,8,15,1.39,48:57,32.831,West Ham
Aston Villa,38,12,14,12,1.32,46:47,34.384,Aston Villa
Tottenham Hotspur,38,14,8,16,1.32,49:53,34.865,Tottenham
Blackburn Rovers,38,12,10,16,1.21,55:51,30.105,Blackburn
Southampton FC,38,12,9,17,1.18,46:54,32.360,Southampton
Middlesbrough FC,38,12,9,17,1.18,35:47,31.279,Middlesbrough
Fulham FC,38,10,14,14,1.16,36:44,26.700,Fulham
Charlton Athletic,38,10,14,14,1.16,38:49,28.678,Charlton
Everton FC,38,11,10,17,1.13,45:57,34.397,Everton
Bolton Wanderers,38,9,13,16,1.05,44:62,29.824,Bolton
Sunderland AFC,38,10,10,18,1.05,29:51,40.434,Sunderland
Ipswich Town,38,9,9,20,0.95,41:64,29.667,Ipswich
Derby County,38,8,6,24,0.79,33:63,31.848,Derby
Leicester City,38,5,13,20,0.74,30:64,27.053,Leicester
