gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,Name
27.00,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.11,€976.00m,€36.15m,Arsenal
31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,Man Utd
30.00,25.90,27.00,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.83,€805.30m,€26.84m,Liverpool
27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,Chelsea
26.00,25.36,24.09,€22.80m,€89.30m,€133.90m,€7.60m,€8.12m,€12.17m,24.78,€325.20m,€10.16m,Leeds
26.00,24.45,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.19,€69.65m,€2.58m,Blackburn
28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,Aston Villa
34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,West Ham
31.00,28.71,31.75,€450k,€2.68m,€1.60m,€225k,€382k,€400k,28.25,€18.58m,€929k,Derby
29.33,27.08,26.33,€11.50m,€147.80m,€99.30m,€3.83m,€12.32m,€16.55m,27.17,€429.10m,€14.30m,Leicester
31.50,28.33,27.67,€1.20m,€4.35m,€14.95m,€600k,€725k,€2.49m,27.59,€41.15m,€1.87m,Coventry
31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,Southampton
31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,Newcastle
29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.84,€617.30m,€24.69m,Tottenham
26.67,25.38,24.22,€325k,€2.03m,€2.40m,€108k,€253k,€267k,24.47,€6.63m,€221k,Wimbledon FC
32.00,27.63,29.25,€600k,€2.20m,€2.10m,€300k,€275k,€525k,28.27,€9.10m,€414k,Sheff Wed
34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,Everton
24.50,25.43,29.25,€200k,€2.88m,€2.93m,€100k,€411k,€366k,27.09,€8.30m,€361k,Bolton
24.00,23.67,24.33,€750k,€5.43m,€1.90m,€375k,€603k,€317k,23.80,€15.78m,€631k,Barnsley FC
28.50,27.00,24.43,€8.25m,€102.20m,€91.00m,€2.06m,€12.78m,€13.00m,26.67,€303.85m,€11.25m,Crystal Palace
