name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,28,5,5,2.34,83:27,55.038,Man Utd
Chelsea FC,38,24,11,3,2.18,64:24,38.109,Chelsea
Liverpool FC,38,20,8,10,1.79,57:27,39.814,Liverpool
Arsenal FC,38,19,11,8,1.79,63:35,46.931,Arsenal
Tottenham Hotspur,38,17,9,12,1.58,57:54,35.132,Tottenham
Everton FC,38,15,13,10,1.53,52:36,35.619,Everton
Bolton Wanderers,38,16,8,14,1.47,47:52,28.690,Bolton
Reading FC,38,16,7,15,1.45,52:47,29.075,Reading
Portsmouth FC,38,14,12,12,1.42,45:42,27.030,Portsmouth
Blackburn Rovers,38,15,7,16,1.37,52:54,27.383,Blackburn
Aston Villa,38,11,17,10,1.32,43:41,35.457,Aston Villa
Middlesbrough FC,38,12,10,16,1.21,44:49,30.894,Middlesbrough
Newcastle United,38,11,10,17,1.13,38:47,42.491,Newcastle
Manchester City,38,11,9,18,1.11,29:44,36.804,Man City
West Ham United,38,12,5,21,1.08,35:59,34.744,West Ham
Fulham FC,38,8,15,15,1.03,38:60,28.116,Fulham
Wigan Athletic,38,10,8,20,1.00,37:59,26.316,Wigan
Sheffield United,38,10,8,20,1.00,32:55,32.680,Sheff Utd
Charlton Athletic,38,8,10,20,0.89,34:60,30.358,Charlton
Watford FC,38,5,13,20,0.74,29:59,26.506,Watford
